Date,EUR/USD,GBP/USD
2024-07-17,1.0902509689331055,1.29776930809021
2024-07-18,1.094020128250122,1.3007453680038452
2024-07-19,1.0901559591293335,1.2951691150665283
2024-07-22,1.0899182558059692,1.2933096885681152
2024-07-23,1.0889805555343628,1.2932428121566772
2024-07-24,1.0850694179534912,1.2901561260223389
2024-07-25,1.0839520692825317,1.289989709854126
2024-07-26,1.0851283073425293,1.2856775522232056
2024-07-29,1.0853756666183472,1.2868356704711914
2024-07-30,1.081946611404419,1.286041259765625
2024-07-31,1.0816072225570679,1.2836971282958984
2024-08-01,1.082391619682312,1.2853139638900757
2024-08-02,1.0787602663040161,1.27289617061615
2024-08-05,1.0910836458206177,1.278788685798645
2024-08-06,1.0950982570648193,1.2788705825805664
2024-08-07,1.0926215648651123,1.2684721946716309
2024-08-08,1.0928125381469727,1.2680377960205078
2024-08-09,1.0915720462799072,1.2747459411621094
2024-08-12,1.091381311416626,1.2750385999679565
2024-08-13,1.0936251878738403,1.2771228551864624
2024-08-14,1.0996986627578735,1.2866700887680054
2024-08-15,1.1013215780258179,1.2828736305236816
2024-08-16,1.0972732305526733,1.2859420776367188
2024-08-19,1.1024993658065796,1.294716238975525
2024-08-20,1.1086474657058716,1.2990386486053467
2024-08-21,1.112792730331421,1.3035430908203125
2024-08-22,1.115536093711853,1.309346079826355
2024-08-23,1.111716389656067,1.3097747564315796
2024-08-26,1.1187934875488281,1.3212658166885376
2024-08-27,1.1164700984954834,1.3191741704940796
2024-08-28,1.117793083190918,1.3257501125335693
2024-08-29,1.1124955415725708,1.3193656206130981
2024-08-30,1.1080454587936401,1.3166210651397705
2024-09-02,1.1044842004776,1.3128528594970703
2024-09-03,1.1067456007003784,1.314198613166809
2024-09-04,1.1048868894577026,1.3114066123962402
2024-09-05,1.1080454587936401,1.3144749402999878
2024-09-06,1.1111111640930176,1.317748785018921
2024-09-09,1.1087212562561035,1.3133355379104614
2024-09-10,1.1037527322769165,1.307138204574585
2024-09-11,1.1020983457565308,1.3080273866653442
2024-09-12,1.1010911464691162,1.3039510250091553
2024-09-13,1.1077877283096313,1.313232183456421
2024-09-16,1.1088441610336304,1.3137997388839722
2024-09-17,1.1129536628723145,1.3210737705230713
2024-09-18,1.1123099327087402,1.3167423009872437
2024-09-19,1.1114816665649414,1.3201146125793457
2024-09-20,1.1161960363388062,1.328179955482483
2024-09-23,1.1160838603973389,1.331398367881775
2024-09-24,1.1111727952957153,1.3349887132644653
2024-09-25,1.1191190481185913,1.3427324295043945
2024-09-26,1.1131023168563843,1.3315792083740234
2024-09-27,1.117717981338501,1.341381549835205
2024-09-30,1.1169815063476562,1.338329792022705
2024-10-01,1.113660216331482,1.3376137018203735
2024-10-02,1.1063904762268066,1.327404260635376
2024-10-03,1.1048502922058105,1.326611876487732
2024-10-04,1.103557825088501,1.3130252361297607
2024-10-07,1.0974539518356323,1.3125253915786743
2024-10-08,1.0975743532180786,1.3084723949432373
2024-10-09,1.0975743532180786,1.309483289718628
2024-10-10,1.0943313837051392,1.306830883026123
2024-10-11,1.0933860540390015,1.3062163591384888
2024-10-14,1.0925379991531372,1.3049037456512451
2024-10-15,1.0909169912338257,1.3067454099655151
2024-10-16,1.0884116888046265,1.3065917491912842
2024-10-17,1.0862481594085693,1.29902184009552
2024-10-18,1.0829542875289917,1.301574945449829
2024-10-21,1.0868619680404663,1.3052616119384766
2024-10-22,1.0817828178405762,1.298296570777893
2024-10-23,1.079727053642273,1.2982797622680664
2024-10-24,1.0780508518218994,1.291372299194336
2024-10-25,1.0824151039123535,1.2973365783691406
2024-10-28,1.0796570777893066,1.295823574066162
2024-10-29,1.0816774368286133,1.2974711656570435
2024-10-30,1.0820636749267578,1.3014055490493774
2024-10-31,1.0859178304672241,1.2959579229354858
2024-11-01,1.0886130332946777,1.2897733449935913
2024-11-04,1.087453007698059,1.2953401803970337
2024-11-05,1.0874056816101074,1.2954542636871338
2024-11-06,1.093445897102356,1.3043591976165771
2024-11-07,1.073306918144226,1.2883278131484985
2024-11-08,1.0795172452926636,1.2982292175292969
2024-11-11,1.0714898109436035,1.2917059659957886
2024-11-12,1.066439151763916,1.2874983549118042
2024-11-13,1.061672568321228,1.2739177942276
2024-11-14,1.0564124584197998,1.27068030834198
2024-11-15,1.0530084371566772,1.266784906387329
2024-11-18,1.0533745288848877,1.261765956878662
2024-11-19,1.059490442276001,1.2679253816604614
2024-11-20,1.0607603788375854,1.2694543600082397
2024-11-21,1.0546187162399292,1.2655344009399414
2024-11-22,1.0469341278076172,1.2584789991378784
2024-11-25,1.0479873418807983,1.2593823671340942
2024-11-26,1.0444300174713135,1.2533055543899536
2024-11-27,1.0491198301315308,1.2573871612548828
2024-11-28,1.0562450885772705,1.2677645683288574
2024-11-29,1.0563008785247803,1.2696800231933594
2024-12-02,1.0545074939727783,1.270163893699646
2024-12-03,1.0501223802566528,1.265854835510254
2024-12-04,1.0510826110839844,1.2674272060394287
2024-12-05,1.051414132118225,1.2701154947280884
2024-12-06,1.058559536933899,1.2759333848953247
2024-12-09,1.0565463304519653,1.2749296426773071
2024-12-10,1.0555204153060913,1.2749085426330566
2024-12-11,1.0532968044281006,1.2780042886734009
2024-12-12,1.0506850481033325,1.2766337394714355
2024-12-13,1.0474056005477905,1.2677323818206787
2024-12-16,1.051005244255066,1.2627378702163696
2024-12-17,1.0517348051071167,1.2690355777740479
2024-12-18,1.0495051145553589,1.2710840702056885
2024-12-19,1.0350252389907837,1.2567708492279053
2024-12-20,1.0364949703216553,1.2497968673706055
2024-12-23,1.0433076620101929,1.256991982460022
2024-12-24,1.0405826568603516,1.2534469366073608
2024-12-25,1.0402579307556152,1.2536041736602783
